,name,SMILES,Experimental_value,Class
0,3296-90-0,OCC(CO)(CBr)CBr,Inactive,0
1,144550-36-7,[Na+].COC(=O)C1=C(C=C(I)C=C1)S(=O)(=O)[N-]C(=O)NC1=NC(OC)=NC(C)=N1,Inactive,0
2,55704-78-4,CC1(O)CSC(C)(O)CS1,Inactive,0
3,91-23-6,COC1=C(C=CC=C1)[N+]([O-])=O,Inactive,0
4,553-26-4,C1=CC(=CC=N1)C1=CC=NC=C1,Inactive,0
5,CHEMBL2159554,Clc1cccc(c1)C2=NOC3CCCCC23,Active,1
6,3734-67-6,[Na+].[Na+].CC(=O)NC1=CC(=CC2=C1C(O)=C(N=NC1=CC=CC=C1)C(=C2)S([O-])(=O)=O)S([O-])(=O)=O,Inactive,0
7,99-87-6,CC(C)C1=CC=C(C)C=C1,Inactive,0
8,932-83-2,O=NN1CCCCCC1,Inactive,0
9,CHEMBL156142,CC1CC(C)(C)Nc2cc3nc(O)cc(c3cc12)C(F)(F)F,Active,1
10,93-69-6,CC1=C(NC(=N)NC(N)=N)C=CC=C1,Inactive,0
11,CHEMBL244895,CC1CCCN1c2ccc3[nH]c(=O)cc(c3c2)C(F)(F)F,Active,1
12,210880-92-5,CN\C(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O,Inactive,0
13,657-24-9,CN(C)C(=N)NC(N)=N,Inactive,0
14,CHEMBL371392,CCCCc1ccc(cc1)C(=O)N2C[C@@H]3C[C@H]2[C@H]4N3C(=O)N(C4=O)c5ccc(cc5)C#N,Active,1
15,106-45-6,CC1=CC=C(S)C=C1,Inactive,0
16,CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,Active,1
17,5104-49-4,CC(C(O)=O)C1=CC=C(C(F)=C1)C1=CC=CC=C1,Inactive,0
18,CHEMBL3706930,FC(F)(F)CN(Cc1cocc1)c2ccc3[nH]c(=O)cc(c3c2)C(F)(F)F,Active,1
19,132-66-1,OC(=O)C1=C(C=CC=C1)C(=O)NC1=CC=CC2=C1C=CC=C2,Inactive,0
20,110-87-2,C1COC=CC1,Inactive,0
21,CHEMBL135,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,Active,1
22,CHEMBL1830941,CC1(C)CN(Cc2cccc(F)c2)C(=O)C1Oc3ccc(C#N)c(c3)C(F)(F)F,Active,1
23,86-29-3,N#CC(C1=CC=CC=C1)C1=CC=CC=C1,Inactive,0
24,18039-42-4,N1N=NN=C1C1=CC=CC=C1,Inactive,0
25,CHEMBL27297,CCC1CCNc2cc3n(C)c(=O)cc(c3cc12)C(F)(F)F,Active,1
26,110488-70-5,COC1=C(OC)C=C(C=C1)C(=CC(=O)N1CCOCC1)C1=CC=C(Cl)C=C1,Active,1
27,23089-26-1,CC(C)=CCC[C@](C)(O)[C@H]1CCC(C)=CC1,Inactive,0
28,105-99-7,CCCCOC(=O)CCCCC(=O)OCCCC,Inactive,0
29,CHEMBL270450,Clc1ccc(cc1Cl)N2C(=O)[C@@H]3C4CCC(O4)[C@@H]3C2=O,Active,1
30,199119-58-9,[Na+].COC1=CC(OC)=NC(NC(=O)[N-]S(=O)(=O)C2=NC=CC=C2OCC(F)(F)F)=N1,Inactive,0
31,150-76-5,COC1=CC=C(O)C=C1,Inactive,0
32,CHEMBL403214,CC12CCC(C)(O1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(c(c4)C(F)(F)F)[N+](=O)[O-],Active,1
33,24307-26-4,[Cl-].C[N+]1(C)CCCCC1,Inactive,0
34,101-10-0,CC(OC1=CC(Cl)=CC=C1)C(O)=O,Inactive,0
35,100-51-6,OCC1=CC=CC=C1,Inactive,0
36,CHEMBL402807,[O-][N+](=O)c1ccc(N2C(=O)[C@@H]3C4CCC(O4)[C@@H]3C2=O)c5ccccc15,Active,1
37,134002-60-1,O[C@@H]1[C@H](CC2=CC=CC(=C2)C(O)=O)COC2=C1C=C(OCC1=NC3=C(S1)C=CC(F)=C3)C=C2,Inactive,0
38,1843-05-6,CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1,Inactive,0
39,CHEMBL235811,C[C@]1(O)CC[C@H]2[C@@H]3[C@H](CCCCc4cccc(OCCCCC(=O)O)c4)CC5=CC(=O)CC[C@]5(C)[C@H]3CC[C@]12C,Active,1
40,31375-17-4,CCC(=O)C1CC(CC=C1C)C(C)C,Inactive,0
41,1929-77-7,CCCSC(=O)N(CCC)CCC,Inactive,0
42,628-97-7,CCCCCCCCCCCCCCCC(=O)OCC,Inactive,0
43,123-33-1,O=C1NNC(=O)C=C1,Inactive,0
44,6625-46-3,[Na+].[Na+].COC1=CC=CC=C1\N=N\C1=C(C=C2C=C(C=C(NC(C)=O)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O,Inactive,0
45,3739-38-6,OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1,Inactive,0
