name,SMILES,Status,Experimental value,Class
52-68-6,O=P(OC)(OC)C(O)C(Cl)(Cl)Cl,Training,Inactive,0
60-51-5,O=C(NC)CSP(OC)(OC)=S,Training,Inactive,0
62-73-7,O=P(OC=C(Cl)Cl)(OC)OC,Training,Inactive,0
121-75-5,O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S,Training,Inactive,0
40596-69-8,O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C,Training,Inactive,0
927-67-3,NC(NCCC)=S,Training,Inactive,0
96-29-7,ON=C(C)CC,Training,Inactive,0
631-64-1,O=C(O)C(Br)Br,Training,Inactive,0
103-23-1,O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC,Training,Inactive,0
1983-10-4,F[Sn](CCCC)(CCCC)CCCC,Training,Active,1
116-06-3,O=C(ON=CC(C)(C)SC)NC,Training,Inactive,0
919-86-8,O=P(OC)(OC)SCCSCC,Training,Inactive,0
5392-40-5,O=CC=C(C)CCC=C(C)C,Training,Inactive,0
97-77-8,C(N(CC)CC)(=S)SSC(N(CC)CC)=S,Training,Active,1
94-96-2,OCC(CC)C(O)CCC,Training,Inactive,0
126-73-8,O=P(OCCCC)(OCCCC)OCCCC,Training,Inactive,0
97-74-5,C(N(C)C)(=S)SC(N(C)C)=S,Training,Active,1
115-96-8,O=P(OCCCl)(OCCCl)OCCCl,Training,Inactive,0
107-21-1,OCCO,Training,Inactive,0
96-12-8,C(C(CBr)Br)Cl,Training,Inactive,0
79-44-7,O=C(N(C)C)Cl,Training,Inactive,0
2279-76-7,CCC[Sn](CCC)(CCC)Cl,Training,Active,1
2540-82-1,O=CN(C(=O)CSP(OC)(OC)=S)C,Training,Inactive,0
30560-19-1,O=C(NP(=O)(OC)SC)C,Training,Inactive,0
127-18-4,C(=C(Cl)Cl)(Cl)Cl,Training,Inactive,0
50-28-2,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34),Training,Active,1
53-16-7,O=C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C)),Training,Active,1
50-27-1,Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34),Training,Active,1
979-32-8,O=C(OC2CCC3C4CCc1cc(O)ccc1C4(CCC23(C)))CCCC,Training,Active,1
50-50-0,O=C(Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34))c5ccccc5,Training,Active,1
63042-18-2,O=C(Oc1ccc2c(c1)CCC3C2CCC4(C)(C(OC(=O)CCC)CCC34))c5ccccc5,Training,Inactive,0
1474-53-9,OC2CC3C4CCc1cc(OC)ccc1C4(CCC3(C)(C2(O))),Training,Active,1
1624-62-0,O=C2CCC3C4CCc1cc(OC)ccc1C4(CCC23(C)),Training,Active,1
72-33-3,C#CC3(O)(CCC2C4CCc1cc(OC)ccc1C4(CCC23(C))),Training,Active,1
