name,SMILES,InChIKey,Class
17913-76-7,CC(C)CC(C)(O)CCC(C)(O)CC(C)C,BTRWELPXUDWAGW-UHFFFAOYSA-N,1
15875-13-5,CN(C)CCCN1CN(CCCN(C)C)CN(CCCN(C)C)C1,FZQMJOOSLXFQSU-UHFFFAOYSA-N,1
83-72-7,O=C1C=C(O)C(=O)c2ccccc21,CSFWPUWCSPOLJW-UHFFFAOYSA-N,1
38194-50-2,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,MLKXDPUZXIRXEP-UHFFFAOYSA-N,0
78-87-5,CC(Cl)CCl,KNKRKFALVUDBJE-UHFFFAOYSA-N,1
78-92-2,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,1
131-57-7,COc1ccc(C(=O)c2ccccc2)c(O)c1,DXGLGDHPHMLXJC-UHFFFAOYSA-N,0
126-07-8,COc1cc(OC)c2c(c1Cl)OC1(C2=O)C(C)CC(=O)CC1OC,IIUZTXTZRGLYTI-UHFFFAOYSA-N,0
1074-12-0,O=CC(=O)c1ccccc1,OJUGVDODNPJEEC-UHFFFAOYSA-N,1
1572-52-7,C=C(C#N)CCC#N,NGCJVMZXRCLPRQ-UHFFFAOYSA-N,0
107753-78-6,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,YEEZWCHGZNKEEK-UHFFFAOYSA-N,0
52-67-5,CC(C)(S)C(N)C(=O)O,VVNCNSJFMMFHPL-UHFFFAOYSA-N,0
99755-59-6,CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1,KFQYTPMOWPVWEJ-UHFFFAOYSA-N,0
72-54-8,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,AHJKRLASYNVKDZ-UHFFFAOYSA-N,1
15500-66-0,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,GVEAYVLWDAFXET-UHFFFAOYSA-N,0
3970-62-5  3970-62-5,CCC(O)C(C)(C)C,HMSVXZJWPVIVIV-UHFFFAOYSA-N,1
94-78-0,Nc1ccc(N=Nc2ccccc2)c(N)n1,QPFYXYFORQJZEC-UHFFFAOYSA-N,0
1623-08-1,O=P(O)(OCc1ccccc1)OCc1ccccc1,HDFFVHSMHLDSLO-UHFFFAOYSA-N,1
376348-65-1,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,GSNHKUDZZFZSJB-UHFFFAOYSA-N,0
594-61-6,CC(C)(O)C(=O)O,BWLBGMIXKSTLSX-UHFFFAOYSA-N,1
298-04-4,CCOP(=S)(OCC)SCCSCC,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,1
68171-33-5,CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C,NEOZOXKVMDBOSG-UHFFFAOYSA-N,0
68411-76-7,C1CCCCC1,XDTMQSROBMDMFD-UHFFFAOYSA-N,1
