name,SMILES,Status,Experimental value,Class
N.A.,OCC4=CC(NC1C(O)C(O)C(OC1(C))OC2C(O)C(O)C(OC2(CO))OC3C(O)C(O)C(O)OC3(CO))C(O)C(O)C4(O),Training,Toxic,1
N.A.,O=C(Nc1ccc(O)cc1)C,Training,Toxic,1
N.A.,O=C1N=CNc2cn[nH]c12,Training,Toxic,1
N.A.,N#CC(c1cc(cc(c1)C(C#N)(C)C)Cn2ncnc2)(C)C,Training,Toxic,1
N.A.,O=[N+]([O-])c1ncn(c1Sc3ncnc2[nH]cnc23)C,Training,Toxic,1
N.A.,O=C(O)CC(c1ccc(cc1)Cl)CN,Training,Toxic,1
N.A.,N#Cc1ccc(cc1C(F)(F)F)NC(=O)C(O)(C)CS(=O)(=O)c2ccc(F)cc2,Training,Toxic,1
N.A.,O=C(O)C1=NN(c2cc3OCOc3(cc2(C1(=O))))CC,Training,Toxic,1
N.A.,N2=C(Nc1c(cccc1Cl)Cl)NCC2,Training,Toxic,1
N.A.,N=1c4ccc(cc4(NC(=C2C=CC=CC=12)N3CCN(C)CC3))Cl,Training,Toxic,1
N.A.,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O),Training,Toxic,1
N.A.,O=C6OC(C)C(NC(=O)c2ccc(c1OC=5C(=Nc12)C(C(=O)NC3C(=O)NC(C(=O)N4CCCC4(C(=O)N(C)CC(=O)N(C)C(C(=O)OC3(C))C(C)C))C(C)C)=C(N)C(=O)C=5C)C)C(=O)NC(C(=O)N7CCCC7(C(=O)N(C)CC(=O)N(C)C6C(C)C))C(C)C,Training,Toxic,1
N.A.,O=C3N=CNc1c3(ncn1C2OC(CO)CC2),Training,Toxic,1
N.A.,C(N(CC)CC)(=S)SSC(N(CC)CC)=S,Training,Toxic,1
N.A.,O3c1ccccc1C(=CCCN(C)C)c2ccccc2C3,Training,Toxic,1
N.A.,O=C(Nc1ccccc1CCC2N(C)CCCC2)c3ccc(OC)cc3,Training,Toxic,1
N.A.,O=C(OCC)C=C(C=CC=C(C=Cc1c(cc(OC)c(c1C)C)C)C)C,Training,Toxic,1
N.A.,O=C(OCC(c1ccccc1)COC(=O)N)N,Training,Toxic,1
N.A.,O=C(NCC1NCCCC1)c2cc(OCC(F)(F)F)ccc2(OCC(F)(F)F),Training,Toxic,1
N.A.,Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)Cn3ncnc3,Training,Toxic,1
N.A.,O=C(Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])C(C)C,Training,Toxic,1
N.A.,FC(F)(F)c1ccc(cc1)C(=NOCCN)CCCCOC,Training,Toxic,1
N.A.,O=C3C=C(OC)C2(Oc1c(c(OC)cc(OC)c1Cl)C2(=O))C(C)C3,Training,Toxic,1
N.A.,O=C(NC2c1ccccc1CC2(O))C(Cc3ccccc3)CC(O)CN5CCN(Cc4cnccc4)CC5(C(=O)NC(C)(C)C),Training,Toxic,1
N.A.,O=C1N(N=CN1c2ccc(cc2)N7CCN(c6ccc(OCC3OC(OC3)(c4ccc(cc4Cl)Cl)Cn5ncnc5)cc6)CC7)C(C)CC,Training,Toxic,1
N.A.,O=C(N5CCN(c4ccc(OCC1OC(OC1)(c2ccc(cc2Cl)Cl)Cn3cncc3)cc4)CC5)C,Training,Toxic,1
N.A.,O=C1N=C(N)C=CN1C2OC(CO)SC2,Training,Toxic,1
N.A.,n1nc(c(nc1N)N)c2cccc(c2Cl)Cl,Training,Toxic,1
N.A.,O=C3OC(CCC2C(C=CC1=CC(C)CC(OC(=O)C(C)CC)C12)C)CC(O)C3,Training,Toxic,1
N.A.,O=C(O)c2ccccc2(Nc1cccc(c1C)C),Training,Toxic,1
N.A.,O=C(O)C2=C(C(C)C1N2(C(=O)C1(C(O)C)))SC3NC(C(=O)N(C)C)CC3,Training,Toxic,1
N.A.,O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)O,Training,Toxic,1
N.A.,O=C(OCCOC)C2=C(NC(=C(C(=O)OC(C)C)C2(c1cccc(c1)[N+](=O)[O-]))C)C,Training,Toxic,1
N.A.,O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-]),Training,Toxic,1
N.A.,O=C(O)C1=CN(c2cc(c(F)cc2(C1(=O)))N3CCNCC3)CC,Training,Toxic,1
N.A.,N=2c4ccccc4(Nc1c(cc(C)s1)C=2N3CCN(C)CC3),Training,Toxic,1
N.A.,NNCCc1ccccc1,Training,Toxic,1
N.A.,O=C(O)CC(O)CC(O)CCC2C(C=CC1=CC(O)CC(OC(=O)C(C)CC)C12)C,Training,Toxic,1
N.A.,O=C(OC3C(C)C(OC)C=COC1(Oc4c(C1(=O))c5C2=NC6(NC2=C(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C3(C))C)C(=O)c5(c(O)c4C))(CCN(CC6)CC(C)C))C)C,Training,Toxic,1
N.A.,O=C1C(=C(N=C2N1CCCC2)C)CCN5CCC(c4noc3cc(F)ccc34)CC5,Training,Toxic,1
N.A.,O=C1NC(=O)N(C=C1C)C2OC(C=C2)CO,Training,Toxic,1
N.A.,n1c[nH]c2c1N=C(N)NC2=S,Training,Toxic,1
N.A.,O=C1OC(C(=O)N1C)(C)C,Training,Toxic,1
